sortorder,enabled,signal,name,condition,suggest,rationale,preconfig
1,1,gap,Empty course landing page,is_empty_shell == true,page,"Your course is empty. Start with a page that welcomes students and explains what the course is about.",name=Welcome
2,1,lifecycle,Pre-start with no content,term_stage == prestart AND has_purpose_content == false,page,"The course hasn't started yet and has no materials. Add an introductory page outlining its aims and structure.",name=Course information
3,1,lifecycle,Pre-start introductions forum,term_stage in (prestart|week1) AND module_count.forum == 0,forum,"Give students a place to introduce themselves before teaching begins.",type=general;name=Introduce yourself
4,1,gap,Activities but no content,activity_count > 0 AND has_purpose_content == false,page,"You have activities but no explanatory material. Add a page so students know what to do.",name=Overview
5,1,lifecycle,Week 1 icebreaker poll,term_stage == week1 AND module_count.choice == 0 AND has_purpose_communication == false,choice,"A quick poll in week one is a low-effort way to get every student participating early.",name=Icebreaker poll
6,1,gap,Crowded single section,section_count <= 1 AND activity_count > 3,page,"Several activities sit in one section. A contents page helps students navigate.",name=Course map
7,1,lifecycle,Pre-start syllabus book,term_stage == prestart AND module_count.page < 1 AND module_count.book < 1,book,"Use a book to lay out a multi-page syllabus before the course opens.",name=Syllabus
8,1,gap,Resources without orientation,resource_count > 2 AND has_purpose_content == false,label,"Add a short label at the top of section one to orient students to the materials.",name=Start here
9,1,lifecycle,Undated self-paced course,term_stage == undated AND activity_count > 0,page,"This course has no start or end date. Add a page noting expected pacing for self-paced learners.",name=How this course works
10,1,gap,All passive no interaction,interactive_count == 0 AND resource_count > 0,h5pactivity,"Everything here is read-only. Add an interactive H5P element so students engage, not just read.",name=Try it yourself
11,1,lifecycle,Freshly rolled over,course_age_days < 14 AND has_purpose_content == true AND recent_events_7d < 5,choice,"This looks like a freshly copied course. A quick choice confirms students can access the materials.",name=Can you see this?
12,1,gap,Many loose files,module_count.resource > 5 AND module_count.folder == 0,folder,"You have many separate files. Group related ones into a folder to reduce clutter.",name=Resources
13,1,gap,Content but no assessment,has_purpose_content == true AND has_purpose_assessment == false,quiz,"Students have plenty to read but nothing to check their understanding. A short quiz closes that loop.",grade=0;name=Check your understanding
14,1,gap,Heavy reading no deep task,has_purpose_content == true AND has_purpose_assessment == false AND module_count.book > 0,assign,"Your reading material is substantial. An assignment lets students demonstrate deeper understanding.",name=Assignment
15,1,gap,No communication channel,has_purpose_communication == false AND enrolled_students > 1,forum,"There is no way for students to ask questions or discuss. Add a forum for course conversation.",type=qanda;name=Questions and answers
16,1,gap,Large cohort no discussion,enrolled_students > 20 AND module_count.forum == 0,forum,"With a large class, a discussion forum cuts repeated questions and builds community.",type=general;name=Discussion
17,1,gap,No collaboration activity,has_purpose_collaboration == false AND activity_count > 4,wiki,"Students only ever work alone here. A wiki lets them build something together.",name=Class wiki
18,1,gap,Groups set but unused,has_purpose_collaboration == false AND has_groups == true,wiki,"Groups are configured but no activity uses them. A group wiki puts those groups to work.",mode=group;name=Group wiki
19,1,gap,Term-heavy no glossary,module_count.glossary == 0 AND module_count.book > 0,glossary,"A glossary gives students a shared reference for key terms as they read.",name=Glossary of terms
20,1,gap,No shared data collection,has_purpose_collaboration == false AND enrolled_students > 15,data,"A database activity lets the class collect and share examples, references, or fieldwork.",name=Shared database
21,1,gap,Quiz-only assessment,module_count.quiz > 0 AND module_count.assign == 0,assign,"Assessment is all quiz-based. An assignment adds an authentic task quizzes can't capture.",name=Applied task
22,1,gap,Assignment-only assessment,module_count.assign > 0 AND module_count.quiz == 0,quiz,"All assessment is assignment-based. Short quizzes give faster, low-stakes feedback.",name=Quick quiz
23,1,gap,Lecture pages no check,module_count.page > 3 AND module_count.quiz == 0,quiz,"Several pages of material but no formative check. A quiz after the reading aids retention.",grade=0;name=Reading check
24,1,gap,Single high-stakes item,has_purpose_assessment == true AND graded_items_count < 2,quiz,"There is only one graded item. A low-stakes practice quiz reduces pressure on the single assessment.",grade=0;name=Practice quiz
25,1,gap,No feedback instrument,has_feedback_activity == false AND activity_count > 5,feedback,"There is no way to gather student opinion. A feedback activity surfaces what is and isn't working.",name=Your feedback
26,1,gap,Linear content branching,module_count.page > 5 AND module_count.lesson == 0,lesson,"With this much linear content, a lesson can guide students adaptively based on their answers.",name=Guided lesson
27,1,gap,Writing tasks no peer review,module_count.assign > 1 AND module_count.workshop == 0,workshop,"Multiple writing tasks but no peer review. A workshop lets students learn by assessing each other.",name=Peer review
28,1,gap,No quick decision tool,module_count.choice == 0 AND enrolled_students > 10,choice,"A choice activity is the fastest way to take a class decision or quick pulse.",name=Quick poll
29,1,gap,No interactive content,interactive_count == 0 AND module_count.lti == 0 AND module_count.h5pactivity == 0,h5pactivity,"Add interactive content so students practise actively rather than only consuming.",name=Interactive activity
30,1,gap,Only one activity type,distinct_module_types <= 1 AND activity_count > 3,forum,"The whole course uses a single activity type. Variety keeps students engaged; start with a forum.",type=general;name=Discussion
31,1,gap,No content pages at all,module_count.page == 0 AND module_count.book == 0 AND module_count.label == 0,page,"There are no explanatory pages. Add one to frame the activities students see.",name=About this course
32,1,gap,Text-only variety,resource_count < 2 AND activity_count > 3,url,"Link out to a relevant video or article to add variety to mostly text-based material.",name=Further viewing
33,1,gap,No reflection late,module_count.assign > 0 AND has_feedback_activity == false AND term_stage in (mid|late),feedback,"Add a short reflection so students think about their own progress, not just receive a grade.",name=Reflection
34,1,gap,Completion on nothing tracked,enablecompletion == true AND completion_tracked_count == 0,quiz,"Completion is on but nothing is tracked. A quiz with completion gives students a sense of progress.",completion=auto;name=Module check
35,1,gap,Groups without shared space,has_groups == true AND module_count.forum == 0 AND module_count.wiki == 0,forum,"Groups exist but have nowhere to talk. A group forum gives each team its own space.",type=general;mode=separategroups;name=Group discussion
36,1,gap,Big-class FAQ,module_count.forum > 0 AND module_count.glossary == 0 AND enrolled_students > 20,glossary,"Recurring questions in a big class are easier to manage as a searchable FAQ glossary.",name=FAQ
37,1,gap,No summative path,has_purpose_assessment == false AND term_stage in (mid|late),assign,"The course is well underway with no graded work. Add an assignment so learning can be assessed.",name=Assessment
38,1,gap,Content-rich not interactive,has_purpose_content == true AND has_purpose_interactivecontent == false AND activity_count > 8,h5pactivity,"A content-rich course benefits from interactive H5P to break up long passive stretches.",name=Interactive break
39,1,gap,Large grouped cohort coordination,module_count.chat == 0 AND enrolled_students > 30 AND has_groups == true,forum,"For a large, grouped cohort, a forum scales better than scattered emails for coordination.",type=general;name=Coordination
40,1,gap,Single-activity shell unset,format == singleactivity AND activity_count < 1,page,"This single-activity course has no activity yet. Choose the activity it should present.",name=Main activity
